id,cuenta,video_persona,carpeta_fondos,titulo,corte,difuminado,fondo_posicion_y,preset,llenar_superior,ancho_maximo,tam_medio,tam_inferior,espacio_medio,espacio_inferior,color_medio,pos_y,salida,estado,error
aura-01,aura,/Users/renzo/AURA EDITS/pestañas/El_laceado_se_aplica_en_secciones_finitas.mp4,/Users/renzo/AURA EDITS/pestañas/fondos,El laceado |  se aplica en | SECCIONES FINITAS,0.5,0.15,,,on,0.78,170,40,-60,-10,#BAE0FD,0.6,/Users/renzo/AURA FINAL/lote/aura-01.mp4,,
aura-02,aura,/Users/renzo/AURA EDITS/pestañas/Peina_tus_extensiones_de_pestañas_en_seco.mp4,/Users/renzo/AURA EDITS/pestañas/fondos,Peina tus extensiones | de pestañas | EN SECO,0.5,0.15,0.2,,on,0.78,170,30,-45,14,,0.3,/Users/renzo/AURA FINAL/lote/aura-02.mp4,,
